name	uuid	color	loyalty	mana_cost	text	type	power	toughness
"""Ach! Hans, Run!"""	8f9a35d5-a3a2-556b-88da-6686da3aaa34	['G', 'R']		{2}{R}{R}{G}{G}	"At the beginning of your upkeep, you may say ""Ach Hans, run It's the . . ."" and the name of a creature card. If you do, search your library for a card with that name, put it onto the battlefield, then shuffle your library. That creature gains haste. Exile it at the beginning of the next end step."			
"""Rumors of My Death . . ."""	201f7042-dda1-53d6-a0bd-8225ba73f34a	['B']		{2}{B}	{3}{B}, Exile a permanent you control with a League of Dastardly Doom watermark: Return a permanent card with a League of Dastardly Doom watermark from your graveyard to the battlefield.			
1996 World Champion	6b0e48c0-441d-5a62-a558-3c99473e4387	['B', 'G', 'R', 'U', 'W']		{W}{U}{B}{R}{G}	"Cannot be the targets of spells or effects. World Champion has power and toughness equal to the life total of target opponent.
{0}: Discard your hand to search your library for 1996 World Champion and reveal it to all players. Shuffle your library and put 1996 World Champion on top of it. Use this ability only at the beginning of your upkeep, and only if 1996 World Champion is in your library."			
2002 World Championships Ad	1aadaec7-883b-593d-ae3f-f39da33059cd							
A Display of My Dark Power	5ccf5ac6-84e6-5ae8-a801-6e9cac2f1996				When you set this scheme in motion, until your next turn, whenever a player taps a land for mana, that player adds one mana of any type that land produced.			
A Reckoning Approaches	2d44a443-9c52-5614-ba7c-9757c877e827				When you set this scheme in motion, look at the top six cards of your library. You may put a creature card from among them onto the battlefield. Put the rest on the bottom of your library in any order.			
AWOL	6f1dae41-8072-516a-b1a6-854184947810	['W']		{2}{W}	Exile target attacking creature. Then remove it from the game. Then put it into the absolutely-removed-from-the-freaking-game-forever zone.			
AWOL (b)	ef598218-eeb4-5c03-8e02-29bb86b0d9b0	['W']		{2}{W}	Exile target attacking creature. Then remove it from the game. Then put it into the absolutely-removed-from-the-freaking-game-forever zone.			
Abandon Hope	d4fb3019-e61a-5d73-beb9-b7255d56dd45	['B']		{X}{1}{B}	"As an additional cost to cast this spell, discard X cards.
Look at target opponent's hand and choose X cards from it. That player discards those cards."			
Abandon Reason	25e6bada-3c10-5646-821b-f60a62ed7d8f	['R']		{2}{R}	"Up to two target creatures each get +1/+0 and gain first strike until end of turn.
Madness {1}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"			
Abandoned Outpost	26ee8823-6561-5bde-b44e-521100fc3763				"Abandoned Outpost enters the battlefield tapped.
{T}: Add {W}.
{T}, Sacrifice Abandoned Outpost: Add one mana of any color."			
Abandoned Sarcophagus	82369297-d559-5280-b2f2-d3636e733799			{3}	"You may cast nonland cards with cycling from your graveyard.
If a card with cycling would be put into your graveyard from anywhere and it wasn't cycled, exile it instead."			
